 masks images 1_Scab 2_Orange_peal 3_Through_hole 4_Imprint 5_Attrition 6_Rust 7_Scratch 8_Pollution 9_Mechanical_damage 10_Insects 11_Stripe 12_Dross 13_Other 14_Oil 15_Roller_print unique_labels
0 D:\multilable_classification_metal\data\masks\buffer00739_100_2.npy D:\multilable_classification_metal\data\images\buffer00739_100_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
1 D:\multilable_classification_metal\data\masks\buffer00739_100_3.npy D:\multilable_classification_metal\data\images\buffer00739_100_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
2 D:\multilable_classification_metal\data\masks\buffer00739_101_1.npy D:\multilable_classification_metal\data\images\buffer00739_101_1.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
3 D:\multilable_classification_metal\data\masks\buffer00739_102_2.npy D:\multilable_classification_metal\data\images\buffer00739_102_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
4 D:\multilable_classification_metal\data\masks\buffer00739_103_0.npy D:\multilable_classification_metal\data\images\buffer00739_103_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
5 D:\multilable_classification_metal\data\masks\buffer00739_104_3.npy D:\multilable_classification_metal\data\images\buffer00739_104_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
6 D:\multilable_classification_metal\data\masks\buffer00739_104_4.npy D:\multilable_classification_metal\data\images\buffer00739_104_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
7 D:\multilable_classification_metal\data\masks\buffer00739_105_3.npy D:\multilable_classification_metal\data\images\buffer00739_105_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
8 D:\multilable_classification_metal\data\masks\buffer00739_106_0.npy D:\multilable_classification_metal\data\images\buffer00739_106_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
9 D:\multilable_classification_metal\data\masks\buffer00739_107_4.npy D:\multilable_classification_metal\data\images\buffer00739_107_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
